word,meaning,native,sentence
énergie,energy,,L'{{énergie}} solaire est une solution renouvelable et durable.
ressource,resource,,L'eau est une {{ressource}} naturelle très précieuse et limitée.
pollution,pollution,,La {{pollution}} de l'air affecte la santé des citadins.
climat,climate,,Le {{climat}} méditerranéen convient à la culture de raisins.
température,temperature,,La {{température}} augmente à cause du changement climatique.
# ── Adjectives ───────────────────────────────────────────────────────────────
bon,good,,C'est un {{bon}} film que je recommande vivement.
mauvais,bad,,Le {{mauvais}} temps nous a empêchés de sortir.
grand,big / great,,Paris est une {{grande}} ville avec beaucoup monuments.
petit,small,,Mon {{petit}} frère a seulement cinq ans maintenant.
nouveau,new,,J'ai acheté un {{nouveau}} téléphone la semaine dernière.
vieux,old,,Cette {{vieille}} maison a plus de deux cents ans.
jeune,young,,Les {{jeunes}} gens aiment sortir avec leurs amis.
haut,tall / high,,La tour Eiffel est très {{haute}} et célèbre mondialement.
bas,short / low,,La vallée est {{basse}} et entourée de montagnes.
long,long,,Ce fleuve est très {{long}} et traverse plusieurs pays.
court,short,,Ma jupe est trop {{courte}} pour cette occasion formelle.
large,wide,,La {{large}} rivière sépare les deux villes principales.
étroit,narrow,,Cette {{étroite}} rue est difficile à traverser en voiture.
gros,fat / big,,Ce {{gros}} livre contient plus de mille pages environ.
mince,thin / slim,,Elle est {{mince}} et très élégante à voir.
fort,strong,,Il est très {{fort}} et soulève des poids facilement.
faible,weak,,Son argument était {{faible}} et peu convaincant pour tous.
rapide,fast,,Le train {{rapide}} arrive à destination en deux heures.
lent,slow,,La {{lente}} tortue avance très graduellement dans le jardin.
facile,easy,,Cet exercice est {{facile}} pour les étudiants expérimentés.
difficile,difficult,,Le problème de mathématiques est très {{difficile}} à résoudre.
important,important,,L'éducation est {{importante}} pour développer une bonne société.
nécessaire,necessary,,L'eau est {{nécessaire}} pour la survie de tous.
possible,possible,,Est-il {{possible}} de terminer ce projet à temps.
impossible,impossible,,C'est {{impossible}} de voler sans ailes ou avion.
vrai,true / real,,Cette histoire {{vraie}} m'a beaucoup impressionné aujourd'hui.
faux,false,,L'information qu'il a donnée était {{fausse}} et trompeuse.
sûr,safe / sure,,Je suis {{sûr}} que tu réussiras ton examen.
dangereux,dangerous,,Ce produit chimique est très {{dangereux}} à manipuler.
riche,rich,,Cette {{riche}} famille possède plusieurs châteaux en France.
pauvre,poor,,Cette {{pauvre}} famille a besoin d'aide financière urgente.
heureux,happy,,Les enfants sont {{heureux}} de jouer au parc.
triste,sad,,Elle se sentait {{triste}} après le départ de son ami.
en colère,angry,,Il était {{en colère}} contre la décision injuste.
calme,calm,,L'océan était très {{calme}} ce matin.
nerveux,nervous,,Le candidat semblait {{nerveux}} avant l'examen important.
ennuyeux,boring,,Ce film était vraiment {{ennuyeux}} et long.
intéressant,interesting,,Le livre est très {{intéressant}} et captivant.
beau,beautiful,,Elle portait une {{belle}} robe bleue au bal.
laid,ugly,,Le bâtiment était {{laid}} avec ses murs gris.
propre,clean,,Sa maison est toujours très {{propre}} et ordonnée.
sale,dirty,,Ses mains étaient {{sales}} après avoir joué dehors.
plein,full,,Le verre était {{plein}} de jus frais.
vide,empty,,La salle était {{vide}} après le concert.
ouvert,open,,Le magasin est {{ouvert}} jusqu'à vingt heures.
fermé,closed,,La porte était {{fermée}} à clé le soir.
libre,free,,"Le samedi, il était {{libre}} pour jouer au football."
occupé,busy,,Elle était trop {{occupée}} pour venir à la fête.
différent,different,,Ses opinions sont très {{différentes}} des miennes.
même,same,,Nous avons les {{mêmes}} goûts musicaux.
similaire,similar,,Ces deux tableaux sont {{similaires}} en couleur.
spécial,special,,C'est un {{spécial}} anniversaire pour toute la famille.
normal,normal,,C'est {{normal}} de se sentir nerveux parfois.
étrange,strange,,Son comportement était {{étrange}} et inexplicable.
commun,common,,C'est une {{commune}} erreur chez les étudiants.
rare,rare,,Ce diamant est très {{rare}} et précieux.
typique,typical,,C'est un {{typique}} jour d'automne en France.
moderne,modern,,L'architecture {{moderne}} du musée est impressionnante.
ancien,ancient / old,,Ce {{ancien}} château date du Moyen Âge.
naturel,natural,,Les ingrédients {{naturels}} sont meilleurs pour la santé.
artificiel,artificial,,Les fleurs {{artificielles}} ne sentent pas bon.
physique,physical,,L'exercice {{physique}} est essentiel pour la santé.
mental,mental,,La force {{mentale}} est très importante pour réussir.
social,social,,Les réseaux {{sociaux}} influencent les jeunes générations.
économique,economic,,La crise {{économique}} a affecté beaucoup de familles.
culturel,cultural,,Le patrimoine {{culturel}} français est très riche.
national,national,,L'hymne {{national}} joue avant le match.
international,international,,Les tournois {{internationaux}} attirent les meilleurs joueurs.
local,local,,Les produits {{locaux}} soutiennent l'économie régionale.
public,public,,Le transport {{public}} est moins cher et écologique.
privé,private,,Cette {{privée}} école est très prestigieuse.
personnel,personal,,Les données {{personnelles}} doivent être protégées.
professionnel,professional,,Son attitude {{professionnelle}} impressionne tous les clients.
intelligent,intelligent,,Cet {{intelligent}} garçon a obtenu une bourse.
sérieux,serious,,Il faut être {{sérieux}} pour réussir ces études.
drôle,funny,,Son histoire était très {{drôle}} et amusante.
aimable,kind / friendly,,Elle est très {{aimable}} avec tous ses collègues.
honnête,honest,,Un {{honnête}} homme ne ment jamais aux autres.
généreux,generous,,Son geste {{généreux}} a aidé beaucoup de gens.
courageux,brave,,Le {{courageux}} pompier a sauvé la famille.
patient,patient,,Le {{patient}} attend le médecin dans la salle d'attente.
actif,active,,Elle mène une vie {{active}} avec beaucoup de sports.
positif,positive,,Son attitude {{positive}} inspire tous ses collègues.
négatif,negative,,Le test {{négatif}} était une bonne nouvelle.
complet,complete,,J'ai reçu un rapport {{complet}} sur le projet.
parfait,perfect,,C'est un endroit {{parfait}} pour les vacances.
correct,correct,,Votre réponse est {{correcte}} à l'examen.
exact,exact,,L'heure {{exacte}} est dix heures du matin.
total,total,,Le prix {{total}} incluait les frais de transport.
principal,main,,La raison {{principale}} de son absence était la maladie.
officiel,official,,Le résultat {{officiel}} sera annoncé demain matin.
formel,formal,,Nous devons avoir une réunion {{formelle}} avec la direction.
# ── Adverbs ──────────────────────────────────────────────────────────────────
très,very,,Cette musique est {{très}} agréable à écouter.
plus,more,,J'aime les pommes {{plus}} que les poires.
moins,less,,Ce film était {{moins}} intéressant que prévu.
aussi,also / too,,Tu es {{aussi}} intelligent que ton frère.
déjà,already,,J'ai {{déjà}} terminé mes devoirs hier soir.
encore,still / again,,Elle veut {{encore}} une tasse de café.
jamais,never,,Je n'ai {{jamais}} visité ce musée avant.
toujours,always,,Il {{toujours}} arrive à l'heure pour les réunions.
presque,almost,,Le gâteau était {{presque}} complètement fini.
seulement,only,,Je veux {{seulement}} quelques minutes de repos.
assez,quite / enough,,Cet hôtel est {{assez}} confortable pour notre séjour.
trop,too much,,Ce café est {{trop}} chaud à boire maintenant.
peu,a little,,Il y avait très {{peu}} de monde à la fête.
beaucoup,a lot,,Elle a {{beaucoup}} d'expérience dans ce domaine.
bien,well,,Tu travailles {{bien}} dans ce nouveau poste.
mal,badly,,Il se sent {{mal}} depuis ce matin.
mieux,better,,Cela fonctionne {{mieux}} avec la nouvelle méthode.
vite,quickly,,Le courrier arrive {{vite}} avec ce service.
lentement,slowly,,Marchez {{lentement}} dans les couloirs de l'hôpital.
facilement,easily,,On peut {{facilement}} trouver ce restaurant en ligne.
probablement,probably,,Il {{probablement}} arrivera demain après-midi.
peut-être,perhaps / maybe,,{{Peut-être}} qu'il pleuvra ce weekend.
sûrement,surely,,Tu {{sûrement}} réussiras cet examen difficile.
vraiment,really,,C'est {{vraiment}} un excellent film à regarder.
totalement,totally,,Je suis {{totalement}} d'accord avec ton opinion.
complètement,completely,,Elle a {{complètement}} oublié la date de la fête.
absolument,absolutely,,C'est {{absolument}} nécessaire de venir à temps.
surtout,especially,,J'aime {{surtout}} les vacances à la montagne.
principalement,mainly,,Elle s'intéresse {{principalement}} à la littérature française.
généralement,generally,,"{{Généralement}}, je me lève à sept heures."
normalement,normally,,"{{Normalement}}, le bus arrive à quinze heures."
souvent,often,,Nous {{souvent}} allons au cinéma le samedi.
rarement,rarely,,Elle {{rarement}} sort le soir après le travail.
immédiatement,immediately,,Tu dois {{immédiatement}} appeler le médecin maintenant.
enfin,finally / at last,,"{{Enfin}}, nous sommes arrivés à destination."
ici,here,,"La bibliothèque est {{ici}}, à côté de la mairie."
là,there,,"Mes clés sont {{là}}, sur la table."
près,near,,Le parc est très {{près}} de ma maison.
loin,far,,La maison est {{loin}} du centre-ville.
dedans,inside,,Les enfants jouent {{dedans}} à cause de la pluie.
dehors,outside,,"Il fait beau, allons jouer {{dehors}} maintenant."
en haut,up / above,,"{{En haut}} de la montagne, la vue est magnifique."
en bas,down / below,,L'appartement {{en bas}} a un petit jardin.
devant,in front,,Ils sont assis {{devant}} l'école chaque matin.
derrière,behind,,Le chat se cache {{derrière}} la porte toujours.
# ── Prepositions and conjunctions ────────────────────────────────────────────
de,of / from,,C'est le livre {{de}} mon professeur préféré.
à,to / at,,Je vais {{à}} Paris la semaine prochaine.
en,in / on,,Nous partons {{en}} vacances en août prochain.
avec,with,,Elle danse {{avec}} son frère à la fête.
sans,without,,Je ne peux pas vivre {{sans}} café le matin.
pour,for,,Il travaille dur {{pour}} réussir son examen final.
par,by / through,,La lettre arrive {{par}} la poste aujourd'hui.
entre,between,,Le secret reste {{entre}} toi et moi toujours.
jusqu'à,until / up to,,Je vais rester ici {{jusqu'à}} demain soir.
depuis,since / from,,Il habite ici {{depuis}} dix ans maintenant.
pendant,during,,J'ai dormi {{pendant}} toute la nuit dernière.
avant,before,,"Mange ta soupe {{avant}} le dessert, s'il te plaît."
après,after,,On se verra {{après}} le film au cinéma.
bien que,although,,"{{Bien que}} fatigué, il a continué à travailler."
parce que,because,,Je reste à la maison {{parce que}} il pleut beaucoup.
si,if,,"{{Si}} tu viens, je serai très heureux."
quand,when,,"{{Quand}} le soleil se lève, les oiseaux chantent."
où,where,,Sais-tu {{où}} se trouve la gare centrale?
comme,as / like,,Elle parle français {{comme}} une véritable Parisienne.
que,that / which,,Je sais {{que}} tu peux réussir facilement.
mais,but,,"J'aime les fruits, {{mais}} pas les légumes."
et,and,,Jean {{et}} Marie vont au cinéma ensemble.
ni,neither / nor,,Il n'aime {{ni}} le café {{ni}} le thé.
donc,so / therefore,,"Il pleut, {{donc}} nous restons à la maison."
# ── Pronouns ─────────────────────────────────────────────────────────────────
je,I,,{{Je}} suis très heureux de te rencontrer.
tu,you (informal),,{{Tu}} es mon meilleur ami depuis longtemps.
il,he,,{{Il}} joue au football chaque samedi avec nous.
elle,she,,{{Elle}} aime beaucoup lire les romans policiers.
nous,we,,{{Nous}} allons faire un voyage en Italie.
vous,you (formal / plural),,{{Vous}} pouvez venir à ma fête demain soir.
ils,they (masc),,{{Ils}} partent en vacances à la plage.
elles,they (fem),,{{Elles}} étudient ensemble à la bibliothèque chaque jour.
me,me,,Tu peux {{me}} donner ce livre s'il te plaît?
te,you (object),,Je vais {{te}} raconter une histoire drôle.
se,himself / herself,,L'enfant {{se}} lave les mains avant de manger.
mon,my (masc),,{{Mon}} frère travaille dans une grande entreprise.
ma,my (fem),,{{Ma}} sœur aime danser dans les fêtes.
ton,your (masc),,{{Ton}} ami a appelé ce matin pour toi.
ta,your (fem),,{{Ta}} mère te cherche depuis une heure.
sa,his / her (fem),,{{Sa}} voiture est très rapide et rouge.
notre,our,,{{Notre}} école est très grande et moderne.
ce,this / that,,{{Ce}} restaurant sert les meilleurs plats de la ville.
quelque chose,something,,Veux-tu manger {{quelque chose}} avant d'aller au lit?
rien,nothing,,Je n'ai {{rien}} à dire aujourd'hui.
quelqu'un,someone,,{{Quelqu'un}} a frappé à la porte ce matin.
tout,everything / all,,Elle a mangé {{tout}} le gâteau seule.
# ── Numbers ──────────────────────────────────────────────────────────────────
un,one,,J'ai acheté {{un}} livre à la bibliothèque.
deux,two,,Nous avons {{deux}} chats à la maison.
trois,three,,Il y a {{trois}} fenêtres dans cette chambre.
quatre,four,,Les enfants jouent avec {{quatre}} ballons colorés.
cinq,five,,Mon grand-mère a {{cinq}} petits-enfants très mignons.
six,six,,Le bus arrive dans {{six}} minutes exactement.
sept,seven,,Il travaille {{sept}} jours par semaine normalement.
huit,eight,,Le magasin ferme à {{huit}} heures du soir.
neuf,nine,,Elle a invité {{neuf}} amis à son anniversaire.
dix,ten,,J'ai besoin de {{dix}} euros pour ce cadeau.
onze,eleven,,Le train part à {{onze}} heures et demie.
douze,twelve,,Il y a {{douze}} mois dans une année.
vingt,twenty,,Elle a exactement {{vingt}} ans maintenant.
trente,thirty,,Mon père a {{trente}} ans de plus que moi.
quarante,forty,,Le marathon dure environ {{quarante}} kilomètres total.
cinquante,fifty,,Il pleut pendant {{cinquante}} pour cent de l'année.
cent,one hundred,,Ce livre coûte {{cent}} euros très cher.
mille,one thousand,,La ville compte plus de {{mille}} habitants environ.
million,one million,,Cette entreprise vaut un {{million}} de dollars maintenant.
premier,first,,C'est mon {{premier}} jour de travail ici.
dernier,last,,Voici le {{dernier}} chapitre du roman intéressant.
# ── Question words ───────────────────────────────────────────────────────────
quoi / qu'est-ce que,what,,{{Qu'est-ce que}} tu fais ce soir?
qui,who,,{{Qui}} a mangé mon sandwich ce matin ?
lequel,which,,{{Lequel}} de ces deux gâteaux préfères-tu vraiment ?
comment,how,,{{Comment}} allez-vous aujourd'hui en ce beau jour ?
combien,how much / how many,,{{Combien}} coûte cette belle robe à la boutique ?
pourquoi,why,,{{Pourquoi}} as-tu quitté ton emploi précédent si soudainement ?
# ── Days of the week ─────────────────────────────────────────────────────────
lundi,Monday,,Nous nous réunissons chaque {{lundi}} à neuf heures.
mardi,Tuesday,,Le marché est fermé tous les {{mardi}} maintenant.
mercredi,Wednesday,,J'ai rendez-vous chez le dentiste {{mercredi}} prochain.
jeudi,Thursday,,Il joue au football tous les {{jeudi}} soirs.
vendredi,Friday,,Nous allons au cinéma {{vendredi}} en fin d'après-midi.
samedi,Saturday,,Elle travaille au magasin le {{samedi}} généralement.
dimanche,Sunday,,La famille se réunit le {{dimanche}} pour dîner.
# ── Months ───────────────────────────────────────────────────────────────────
janvier,January,,L'année nouvelle commence en {{janvier}} avec optimisme.
février,February,,{{Février}} est le mois le plus court.
mars,March,,Les fleurs commencent à pousser en {{mars}} enfin.
avril,April,,Il pleut beaucoup pendant le mois d'{{avril}}.
mai,May,,Le temps devient très beau en {{mai}} généralement.
juin,June,,Les enfants ont congé à partir de {{juin}}.
juillet,July,,Nous partons en vacances en {{juillet}} traditionnellement.
août,August,,{{Août}} est souvent très chaud dans le sud.
septembre,September,,Les école recommencent en {{septembre}} après les vacances.
octobre,October,,Les feuilles tombent pendant {{octobre}} magnifiquement.
novembre,November,,Il fait froid pendant le mois de {{novembre}}.
décembre,December,,Noël arrive à la fin de {{décembre}}.
# ── Seasons ──────────────────────────────────────────────────────────────────
le printemps,spring,,{{Le printemps}} apporte beaucoup de fleurs colorées partout.
l'été,summer,,Nous allons {{l'été}} à la plage avec notre famille.
l'automne,autumn / fall,,{{L'automne}} apporte des couleurs magnifiques dans les forêts.
l'hiver,winter,,{{L'hiver}} est la saison préférée pour skier en montagne.
# ── Professions ──────────────────────────────────────────────────────────────
enseignant,teacher,,Mon {{enseignant}} de français est très enthousiaste et patient.
avocat,lawyer,,L'{{avocat}} a défendu son client avec beaucoup de compétence.
ingénieur,engineer,,Cet {{ingénieur}} a conçu un pont remarquable dans la ville.
architecte,architect,,L'{{architecte>> a dessiné les plans du nouvel hôpital.
cuisinier,chef / cook,,Le {{cuisinier}} prépare des plats délicieux chaque soir.
musicien,musician,,Ce {{musicien}} joue du violon depuis vingt ans maintenant.
artiste,artist,,L'{{artiste}} expose ses peintures dans la galerie principale.
écrivain,writer,,Cet {{écrivain}} a publié plusieurs romans à succès.
journaliste,journalist,,La {{journaliste}} enquête sur une histoire importante pour le journal.
scientifique,scientist,,Le {{scientifique}} découvre de nouvelles molécules chaque année.
dentiste,dentist,,Mon {{dentiste}} me fait toujours un sourire chaleureux.
pharmacien,pharmacist,,Le {{pharmacien}} prépare les médicaments avec beaucoup de soin.
pompier,firefighter,,Le {{pompier}} sauve les gens des immeubles en feu.
pilote,pilot,,Le {{pilote}} vole l'avion vers Paris ce matin.
conducteur,driver,,Le {{conducteur}} de bus aide les passagers à monter.
mécanicien,mechanic,,Le {{mécanicien}} répare la voiture depuis deux heures.
électricien,electrician,,L'{{électricien}} installe les nouveaux fils dans la maison.
charpentier,carpenter,,Le {{charpentier}} construit une belle table en bois.
jardinier,gardener,,Le {{jardinier}} cultive des roses rouges dans le parc.
serveur,waiter,,Le {{serveur}} apporte le café à notre table maintenant.
employé,employee,,Cet {{employé}} travaille dans le bureau depuis cinq ans.
patron,boss,,Mon {{patron}} me félicite pour mon travail excellent.
directeur,director,,Le {{directeur}} de l'école accueille tous les élèves chaque matin.
gérant,manager,,Le {{gérant}} du magasin décide des nouveaux produits.
secrétaire,secretary,,La {{secrétaire}} organise les réunions avec les clients importants.
comptable,accountant,,Le {{comptable}} vérifie tous les chiffres du rapport.
économiste,economist,,L'{{économiste}} analyse les tendances du marché international.
psychologue,psychologist,,Le {{psychologue}} écoute les problèmes de ses patients avec attention.
sociologue,sociologist,,La {{sociologue}} étudie les comportements des différentes communautés.
historien,historian,,L'{{historien}} raconte les événements importants du passé.
# ── More verbs ───────────────────────────────────────────────────────────────
discuter,to discuss,,Nous allons {{discuter}} du projet lors de la réunion.
comparer,to compare,,Il faut {{comparer}} les deux solutions avant de décider.
analyser,to analyse,,Je vais {{analyser}} les données du rapport très attentivement.
planifier,to plan,,Nous devons {{planifier}} nos vacances trois mois à l'avance.
organiser,to organize,,Elle {{organise}} toujours les événements avec beaucoup de détail.
contrôler,to control,,Le manager {{contrôle}} la qualité du travail chaque semaine.
mesurer,to measure,,Il faut {{mesurer}} la longueur avant de couper le bois.
rénover,to renovate,,Nous voulons {{rénover}} notre cuisine l'année prochaine.
réparer,to repair,,Le mécanicien va {{réparer}} ma voiture cet après-midi.
installer,to install,,L'équipe va {{installer}} le système informatique demain matin.
connecter,to connect,,Je dois {{connecter}} mon ordinateur à Internet rapidement.
télécharger,to download,,Peux-tu {{télécharger}} le fichier depuis le serveur s'il te plaît.
programmer,to program,,Le développeur va {{programmer}} une nouvelle application pour nous.
concevoir,to design,,L'équipe va {{concevoir}} une stratégie marketing pour les clients.
inventer,to invent,,Edison a {{inventé}} l'ampoule électrique au dix-neuvième siècle.
découvrir,to discover,,Les archéologues ont {{découvert}} des ruines anciennes dans la vallée.
enquêter,to investigate,,La police {{enquête}} sur le vol qui s'est produit hier soir.
étudier,to study,,Elle {{étudie}} les mathématiques à l'université chaque jour.
pratiquer,to practise,,Il {{pratique}} le piano depuis quinze ans maintenant.
concourir,to compete,,Les athlètes {{concourent}} pour la médaille d'or olympique.
profiter,to enjoy / to take advantage,,Nous {{profitons}} de cette belle journée pour sortir.
souffrir,to suffer,,Il {{souffre}} d'une douleur au dos depuis longtemps.
prendre soin,to take care of,,Elle {{prend soin}} de ses plantes avec beaucoup d'attention.
sauver,to save / to rescue,,Le pompier a {{sauvé}} la famille du bâtiment en feu.
partager,to share,,Les enfants {{partagent}} leurs jouets avec leurs copains.
vieillir,to age / to grow old,,Mon grand-père {{vieillit}} mais reste toujours très actif.
coopérer,to cooperate,,Les deux pays {{coopèrent}} pour résoudre ce problème ensemble.
négocier,to negotiate,,Les diplomates {{négocient}} un accord commercial depuis plusieurs semaines.
embaucher,to hire,,L'entreprise {{embauche}} dix nouveaux employés ce mois-ci.
exporter,to export,,La France {{exporte}} beaucoup de vin vers d'autres pays.
importer,to import,,Nous {{importons}} du café du Brésil pour notre café.
voter,to vote,,Les citoyens {{votent}} pour élire leur nouveau président.
gouverner,to govern,,Le président {{gouverne}} le pays avec l'aide de ministres.
décorer,to decorate,,Nous {{décorons}} la maison pour célébrer Noël magnifiquement.
conseiller,to advise,,Mon professeur m'a {{conseillé}} d'étudier plus régulièrement.
approuver,to approve,,Le directeur {{approuve}} le projet de rénovation de l'école.
appliquer,to apply,,Le médecin {{applique}} une crème sur la blessure.
réussir à,to achieve,,Il a {{réussi à}} obtenir son diplôme avec distinction.
mélanger,to mix,,Elle {{mélange}} les ingrédients pour faire un gâteau délicieux.
préparer,to prepare,,Je {{prépare}} le dîner pour ma famille ce soir.
servir,to serve,,Le garçon {{sert}} le café aux clients de restaurant.
emprunter,to borrow,,Elle {{emprunte}} un livre de la bibliothèque chaque semaine.
renverser,to spill / to overturn,,J'ai accidentellement {{renversé}} mon verre de lait sur la table.
surveiller,to monitor / to watch over,,Les parents {{surveillent}} les enfants à la cour de récréation.
protéger,to protect,,Les pompiers {{protègent}} les personnes en cas d'incendie grave.
encourager,to encourage,,L'entraîneur {{encourage}} ses joueurs avant le match important.
interdire,to forbid,,Le directeur {{interdit}} l'utilisation de téléphones portables à l'école.
autoriser,to authorize,,Les parents m'{{autorisent}} à sortir ce soir avec amis.
reconnaître,to recognize,,Je {{reconnais}} cet homme que j'ai vu hier.
identifier,to identify,,Les scientifiques {{identifient}} une nouvelle espèce d'animal rare.
confirmer,to confirm,,L'hôtel {{confirme}} votre réservation pour samedi prochain.
annuler,to cancel,,La réunion est {{annulée}} en raison de la mauvaise météo.
reporter,to postpone,,Nous {{reportons}} la fête au weekend à cause de pluie.
terminer,to finish / to end,,Elle {{termine}} son travail et rentre chez elle tranquillement.
rejoindre,to join / to meet,,Je vais {{rejoindre}} mes amis au café dans une heure.
quitter,to leave,,Il a {{quitté}} l'entreprise pour travailler ailleurs.
regretter,to regret,,Je {{regrette}} de ne pas avoir étudié davantage.
féliciter,to congratulate,,Nous la {{félicitons}} pour son excellent résultat académique.
# ── More nouns ───────────────────────────────────────────────────────────────
démocratie,democracy,,La {{démocratie}} permet aux citoyens de voter librement.
dictature,dictatorship,,"Sous la {{dictature}}, les gens n'avaient pas de liberté."
élection,election,,L'{{élection}} présidentielle aura lieu dans trois mois.
parti,political party,,Il est membre du {{parti}} politique depuis dix ans.
impôt,tax,,Les citoyens paient des {{impôts}} au gouvernement chaque année.
dette,debt,,La {{dette}} du pays augmente chaque année malheureusement.
intérêt,interest,,Votre {{intérêt}} bancaire est fixé à trois pour cent.
investissement,investment,,Cet {{investissement}} en bourse pourrait rapporter beaucoup d'argent.
bénéfice,profit,,L'entreprise a fait un {{bénéfice}} record cette année.
perte,loss,,La {{perte}} de son portefeuille l'a beaucoup contrariée.
budget,budget,,Le {{budget}} annuel de l'entreprise a augmenté cette année.
contrat,contract,,Ils ont signé un {{contrat}} de trois ans ensemble.
accord,agreement,,Les deux pays ont trouvé un {{accord}} diplomatique important.
règle,rule,,Cette {{règle}} doit être respectée par tous les élèves.
règlement,regulation,,Le {{règlement}} intérieur interdit de fumer dans le bâtiment.
institution,institution,,L'{{institution}} bancaire offre des services financiers de qualité.
organisation,organization,,Son {{organisation}} du travail est très efficace et productive.
association,association,,Il travaille pour une {{association}} humanitaire depuis longtemps.
réunion,meeting,,La {{réunion}} avec les clients s'est déroulée très bien.
conférence,conference,,J'ai assisté à une {{conférence}} intéressante sur le climat.
rapport,report,,Le {{rapport}} d'audit révèle plusieurs problèmes importants.
statistique,statistic,,Cette {{statistique}} montre une augmentation de dix pour cent.
recherche,research,,La {{recherche}} scientifique progresse rapidement dans ce domaine.
expérience,experiment,,Mon {{expérience}} professionnelle m'a beaucoup appris sur le secteur.
laboratoire,laboratory,,Les chercheurs travaillent dans ce {{laboratoire}} depuis plusieurs années.
clinique,clinic,,Je vais consulter mon médecin à la {{clinique}} demain.
pharmacie,pharmacy,,Vous pouvez acheter ces médicaments à la {{pharmacie}} locale.
ordonnance,prescription,,Le médecin m'a donné une {{ordonnance}} pour les antibiotiques.
diagnostic,diagnosis,,Le {{diagnostic}} révèle une infection respiratoire légère.
symptôme,symptom,,Le principal {{symptôme}} de cette maladie est la fièvre.
vaccin,vaccine,,Le {{vaccin}} contre la grippe est recommandé chaque hiver.
chirurgie,surgery,,Elle a subi une {{chirurgie}} pour enlever l'appendicite.
thérapie,therapy,,La {{thérapie}} comportementale l'a aidé à surmonter son anxiété.
psychologie,psychology,,Il étudie la {{psychologie}} à l'université depuis deux ans.
stress,stress,,Le {{stress}} au travail affecte sa santé mentale.
anxiété,anxiety,,Son {{anxiété}} a diminué grâce aux exercices de respiration.
dépression,depression,,La {{dépression}} saisonnière touche beaucoup de personnes en hiver.
zone,zone / area,,Cette {{zone}} industrielle est fermée aux piétons la nuit.
quartier,neighbourhood,,Nous habitons dans un {{quartier}} résidentiel très calme et agréable.
frontière,border,,La {{frontière}} entre les deux pays est bien gardée.
territoire,territory,,Ce {{territoire}} appartient historiquement à cette nation depuis longtemps.
province,province,,La {{province}} de Québec est la plus grande du Canada.
commune,municipality,,Notre {{commune}} organise une fête populaire chaque été.
village,village,,Ce petit {{village}} compte environ deux mille habitants seulement.
sous-sol,basement,,Nous avons rangé les vieux meubles au {{sous-sol}}.
grenier,attic,,Les souris ont construit un nid dans le {{grenier}}.
terrasse,terrace,,Nous prenons le café sur la {{terrasse}} le dimanche.
balcon,balcony,,Mon appartement a un joli {{balcon}} avec vue sur la ville.
ascenseur,lift / elevator,,"L'{{ascenseur}} est en panne, je prends l'escalier."
escalier,staircase,,L'{{escalier}} est très raide dans cette vieille maison.
couloir,corridor / hallway,,Le {{couloir}} de l'école est très bruyant entre les cours.
bois,wood,,Cette table est faite de {{bois}} de chêne massif.
métal,metal,,La structure du bâtiment est en {{métal}} et verre.
plastique,plastic,,Les {{plastique|plastiques}} polluent beaucoup les océans actuellement.
verre,glass,,"Sois prudent avec ce {{verre}}, il peut se casser facilement."
papier,paper,,J'ai besoin de {{papier}} pour imprimer mon document.
tissu,fabric,,Ce {{tissu}} est très doux et confortable à porter.
laine,wool,,Son pull est tricoté en {{laine}} mérinos de haute qualité.
coton,cotton,,Les vêtements en {{coton}} sont idéaux pour l'été.
cuir,leather,,Ma veste en {{cuir}} est très confortable et élégante.
soie,silk,,Elle porte une robe en {{soie}} pour la cérémonie.
parfum,perfume / fragrance,,J'aime beaucoup ce {{parfum}} qui sent très bon.
savon,soap,,Le {{savon}} doux nettoie ma peau délicatement.
shampooing,shampoo,,Je me lave les cheveux avec ce {{shampooing}} bio.
brosse à dents,toothbrush,,Ma {{brosse à dents}} électrique est très efficace.
dentifrice,toothpaste,,Le {{dentifrice}} blanchissant garde mes dents brillantes.
rasoir,razor,,Mon {{rasoir}} est neuf et très tranchant.
miroir,mirror,,Je me regarde dans le {{miroir}} chaque matin.
serviette,towel,,Je sèche mes mains avec une {{serviette}} propre.
couverture,blanket,,La {{couverture}} en laine me tient très chaud.
oreiller,pillow,,Je dors mieux avec un {{oreiller}} ergonomique.
matelas,mattress,,Ce {{matelas}} neuf est très confortable à utiliser.
meuble,furniture,,Chaque {{meuble}} de cette maison est magnifique.
canapé,sofa,,Nous regardons la télévision sur le {{canapé}} confortable.
fauteuil,armchair,,Mon {{fauteuil}} préféré est près de la fenêtre.
table,table,,La {{table}} de la cuisine est en bois massif.
chaise,chair,,Il y a quatre {{chaises}} autour de la {{table}}.
bureau,desk / office,,Je travaille à mon {{bureau}} depuis ce matin.
lampe,lamp,,La {{lampe}} de nuit illumine doucement la chambre.
rideau,curtain,,Le {{rideau}} bleu cache le soleil le matin.
tapis,carpet / rug,,Le {{tapis}} persan rend le salon très chaud.
étagère,shelf,,Mes livres sont rangés sur l'{{étagère}} murale.
tiroir,drawer,,Mes chaussettes sont dans le {{tiroir}} du haut.
armoire,wardrobe,,L'{{armoire}} ancienne contient tous mes vêtements d'hiver.
réfrigérateur,fridge,,Le {{réfrigérateur}} garde les aliments frais longtemps.
four,oven,,Je prépare le poulet au {{four}} ce soir.
