word,meaning,native,sentence,ipa
die Traube,grape,,Eine {{Traube}} ist süß und sehr erfrischend.,diː ˈtʁaʊ̯bə
die Banane,banana,,Die gelbe {{Banane}} ist reif und lecker.,diː baˈnaːnə
die Erdbeere,strawberry,,Die rote {{Erdbeere}} schmeckt im Sommer herrlich.,diː ˈɛʁtbeːʁə
die Zitrone,lemon,,Die sauere {{Zitrone}} würzt den Tee perfekt.,diː tsiˈtʁoːnə
die Tomate,tomato,,Die reife {{Tomate}} ist sehr saftig und rot.,diː toˈmaːtə
der Salat,salad / lettuce,,Der grüne {{Salat}} ist gesund und frisch.,deːɐ̯ zaˈlaːt
die Karotte,carrot,,Die orange {{Karotte}} ist rohes Gemüse zum Naschen.,diː kaˈʁɔtə
die Zwiebel,onion,,Die {{Zwiebel}} macht deine Augen tränen schnell.,diː ˈtsvibəl
der Knoblauch,garlic,,Der {{Knoblauch}} riecht stark aber schmeckt gut.,deːɐ̯ ˈknoblaʊ̯x
die Kartoffel,potato,,Die gekochte {{Kartoffel}} ist ein klassisches Gemüse.,diː kaɐ̯ˈtɔfl̩
das Buch,book,,Das interessante {{Buch}} lese ich gerade abends.,das ˈbuːx
die Seite,page,,Auf dieser {{Seite}} findest du die Antwort.,diː ˈzaɪ̯tə
der Brief,letter,,Der {{Brief}} kam heute morgen mit der Post.,deːɐ̯ ˈbʁiːf
die Zeitung,newspaper,,Die {{Zeitung}} berichtet über aktuelle Nachrichten täglich.,diː ˈtsaɪ̯tʊŋ
die Zeitschrift,magazine,,Die neue {{Zeitschrift}} ist sehr interessant zu lesen.,diː ˈtsaɪ̯tʃʁɪft
die Nachricht,news / message,,Ich bekam eine {{Nachricht}} von meinem Freund heute.,diː ˈnaːxʁɪçt
die Frage,question,,Die {{Frage}} war schwierig für alle Schüler.,diː ˈfʁaːɡə
die Antwort,answer,,Die {{Antwort}} ist einfach und sehr logisch.,diː ˈantvoɐ̯t
die Idee,idea,,Die brillante {{Idee}} kam mir spontan in den Sinn.,diː iˈdeː
die Meinung,opinion,,Ich habe eine andere {{Meinung}} zu diesem Thema.,diː ˈmaɪnʊŋ
das Wort,word,,Das {{Wort}} ist schwer auszusprechen für Anfänger.,das vɔʁt
der Satz,sentence,,Dieser {{Satz}} enthält viele wichtige Informationen.,deːɐ̯ zats
die Sprache,language,,Sie spricht fünf verschiedene {{Sprachen}} fließend.,diː ˈʃpʁaːxə
die Kultur,culture,,Die {{Kultur}} dieses Landes ist sehr interessant.,diː kʊlˈtuːɐ̯
die Kunst,art,,{{Kunst}} ist ein wichtiger Teil unserer Gesellschaft.,diː kʊnst
die Musik,music,,Ich liebe {{Musik}} und spiele Gitarre gerne.,diː muˈziːk
das Lied,song,,Dieses {{Lied}} ist sehr populär in Deutschland.,das liːt
der Film,film / movie,,Der neue {{Film}} war fantastisch und spannend.,deːɐ̯ fɪlm
das Theater,theatre,,Das {{Theater}} in unserer Stadt ist sehr schön.,das teˈaːtɐ
der Sport,sport,,{{Sport}} ist gesund und macht viel Spaß.,deːɐ̯ ʃpɔʁt
der Fußball,football / soccer,,Mein Bruder spielt jeden Tag {{Fußball}} mit Freunden.,deːɐ̯ ˈfʊsbɑl
das Tennis,tennis,,Sie spielt {{Tennis}} seit zehn Jahren sehr gut.,das ˈtɛnɪs
das Schwimmen,swimming,,{{Schwimmen}} ist eine ausgezeichnete Ausdauersportart.,das ˈʃvɪmən
das Rennen,race,,Das {{Rennen}} war sehr aufregend und knapp.,das ˈʁɛnən
das Team,team,,Unser {{Team}} hat das Turnier gewonnen.,das tiːm
das Spiel,game,,Das {{Spiel}} endete mit einem klaren Sieg.,das ʃpiːl
der Sieg,victory,,Der {{Sieg}} war hart umkämpft und verdient.,deːɐ̯ ziːk
die Niederlage,defeat,,Eine {{Niederlage}} ist manchmal wichtiger als ein Sieg.,diː ˈniːdɐˌlaːɡə
der Preis,price / prize,,Der {{Preis}} für dieses Produkt ist angemessen.,deːɐ̯ pʁaɪs
die Reise,journey / trip,,Unsere {{Reise}} nach Frankreich war unvergesslich.,diː ˈʁaɪzə
der Urlaub,holiday / vacation,,Nächsten Monat nehme ich zwei Wochen {{Urlaub}}.,deːɐ̯ ˈʔuːɐ̯ˌlaʊp
der Transport,transport,,Der {{Transport}} der Waren dauerte drei Tage.,deːɐ̯ tʁansˈpɔʁt
das Auto,car,,Mein neues {{Auto}} ist rot und sehr schnell.,das ˈʔaʊto
der Bus,bus,,Der {{Bus}} fährt alle zwanzig Minuten durch die Stadt.,deːɐ̯ bʊs
der Zug,train,,Der {{Zug}} verspätet sich heute um eine Stunde.,deːɐ̯ tsuːk
das Flugzeug,airplane,,Das {{Flugzeug}} startet um neun Uhr morgens.,das ˈfluːkˌtsɔɪk
das Schiff,ship,,Das {{Schiff}} kreuzt durch den Atlantischen Ozean.,das ʃɪf
das Fahrrad,bicycle,,Mein {{Fahrrad}} ist kaputt und muss repariert werden.,das ˈfaːɐ̯ˌʁat
das Motorrad,motorcycle,,Er fährt gerne mit seinem {{Motorrad}} schnell.,das moˈtoːɐ̯ˌʁat
die Fahrkarte,ticket,,Ich kaufe eine {{Fahrkarte}} für den nächsten Zug.,diː ˈfaːɐ̯ˌkaʁtə
der Pass,passport,,Mein {{Pass}} ist noch zwei Jahre gültig.,deːɐ̯ pas
der Koffer,suitcase,,Der {{Koffer}} ist zu schwer zum Tragen.,deːɐ̯ ˈkɔfɐ
die Karte,map / card,,Hast du eine {{Karte}} von dieser Region?,diː ˈkaʁtə
die Technologie,technology,,Die {{Technologie}} entwickelt sich sehr schnell heutzutage.,diː tɛçnoloˈɡiː
der Computer,computer,,Mein {{Computer}} läuft langsam und braucht Speicher.,deːɐ̯ kɔmˈpjuːtɐ
das Telefon,phone,,Mein {{Telefon}} hat keinen Akku mehr.,das teleˈfoːn
das Internet,internet,,Das {{Internet}} ist heute überall verfügbar.,das ˈɪntɐˌnɛt
der Bildschirm,screen,,Der {{Bildschirm}} ist zu dunkel eingestellt.,deːɐ̯ ˈbɪltˌʃɪʁm
die Tastatur,keyboard,,Die {{Tastatur}} hat einige kaputte Tasten.,diː tastaˈtuːɐ̯
die Kamera,camera,,Die neue {{Kamera}} macht sehr scharfe Fotos.,diː ˈkaːməʁa
der Fernseher,television,,Der {{Fernseher}} läuft den ganzen Tag.,deːɐ̯ ˈfɛʁnzeːɐ̯
das Radio,radio,,Ich höre morgens {{Radio}} beim Frühstück.,das ˈʁaːdio
das Licht,light,,Das {{Licht}} in diesem Zimmer ist zu hell.,das lɪçt
der Ton,sound / tone,,Der {{Ton}} des Liedes war unglaublich schön.,deːɐ̯ toːn
die Farbe,colour,,Welche {{Farbe}} magst du am liebsten?,diː ˈfaʁbə
das Rot,red,,{{Rot}} ist die Lieblingsfarbe meiner Mutter.,das ʁoːt
das Blau,blue,,Der Himmel ist heute schön {{blau}} und klar.,das blaʊ
das Grün,green,,Das {{Grün}} der Bäume ist wunderschön.,das ɡʁyːn
das Gelb,yellow,,Die {{gelbe}} Sonne scheint warm auf mich.,das ɡɛlp
das Schwarz,black,,Die {{Schwarz}} der Nacht war absolut undurchdringlich.,das ˈʃvaʁts
das Weiß,white,,Das {{Weiß}} des Schnees glänzte in der Sonne.,das ˈvaɪ̯s
das Grau,grey,,Das {{Grau}} des Himmels deutete auf Regen hin.,das ˈɡʁaʊ̯
der Schmerz,pain,,Der {{Schmerz}} in seinem Rücken war unerträglich.,deːɐ̯ ˈʃmɛʁts
die Krankheit,illness,,Die {{Krankheit}} verbreitete sich schnell in der Stadt.,diː ˈkʁaŋkhɑɪ̯t
das Medikament,medicine,,Das {{Medikament}} half ihm bei der Genesung.,das ˌmedikaˈmɛnt
der Arzt,doctor,,Der {{Arzt}} untersuchte den Patienten sorgfältig.,deːɐ̯ ˈaʁtst
die Krankenschwester,nurse,,Die {{Krankenschwester}} kümmerte sich um die Patienten.,diː ˈkʁaŋkənˌʃvɛstɐ
die Gesundheit,health,,Die {{Gesundheit}} ist das wichtigste Gut im Leben.,diː ɡəˈzʊnthɑɪ̯t
der Geist,mind / spirit,,Der {{Geist}} war stärker als der Körper.,deːɐ̯ ˈɡaɪ̯st
die Emotion,emotion,,Die {{Emotion}} überwältigte sie völlig in diesem Moment.,diː emoˈtsi̯oːn
die Angst,fear,,Die {{Angst}} vor der Zukunft plagte ihn.,diː ˈaŋst
die Freude,joy,,Die {{Freude}} strahlte aus seinen Augen heraus.,diː ˈfʁɔɪ̯də
die Trauer,sadness,,Die {{Trauer}} erfüllte sein Herz nach dem Verlust.,diː ˈtʁaʊ̯ɐ
die Liebe,love,,Die {{Liebe}} zwischen ihnen war unsterblich.,diː ˈliːbə
der Hass,hate,,Der {{Hass}} vergiftete seine Gedanken täglich.,deːɐ̯ ˈhas
die Hoffnung,hope,,Die {{Hoffnung}} half ihm durch schwere Zeiten.,diː ˈhɔfnʊŋ
die Wahrheit,truth,,Die {{Wahrheit}} muss immer ans Licht kommen.,diː ˈvaːɐ̯hɑɪ̯t
die Lüge,lie,,Die {{Lüge}} wurde schnell entdeckt und bestraft.,diː ˈlyːɡə
die Gerechtigkeit,justice,,Die {{Gerechtigkeit}} siegte am Ende des Prozesses.,diː ɡəˈʁɛçtɪɡkɑɪ̯t
das Gesetz,law,,Das {{Gesetz}} schützt alle Bürger gleichermaßen.,das ɡəˈzɛts
die Polizei,police,,Die {{Polizei}} kam schnell nach dem Notruf.,diː poliˈtsaɪ̯
der Krieg,war,,Der {{Krieg}} zerstörte viele Städte völlig.,deːɐ̯ ˈkʁiːk
der Frieden,peace,,Der {{Frieden}} kehrte endlich in die Region zurück.,deːɐ̯ ˈfʁiːdn̩
der Unfall,accident,,Der {{Unfall}} ereignete sich auf der Autobahn.,deːɐ̯ ˈʔʊnfal
die Gefahr,danger,,Die {{Gefahr}} lauerte überall in dieser Gegend.,diː ɡəˈfaːɐ̯
die Sicherheit,safety / security,,Die {{Sicherheit}} der Familie war ihre Priorität.,diː ˈzɪçɐhɑɪ̯t
der Erfolg,success,,Der {{Erfolg}} kam nach jahrelanger harter Arbeit.,deːɐ̯ ɛɐ̯ˈfɔlk
das Scheitern,failure,,Das {{Scheitern}} war ein wichtiger Lernprozess für ihn.,das ˈʃaɪ̯tɐn
die Schwierigkeit,difficulty,,Die {{Schwierigkeit}} dieser Aufgabe war unterschätzt worden.,diː ˈʃviːɐ̯ɪɡkɑɪ̯t
die Lösung,solution,,Die {{Lösung}} war einfacher als gedacht.,diː ˈløːzʊŋ
die Möglichkeit,opportunity / possibility,,Die {{Möglichkeit}} einer Karriere lockte ihn stark.,diː ˈmøːɡlɪçkɑɪ̯t
das Recht,right / law,,Das {{Recht}} auf Bildung ist fundamental wichtig.,das ˈʁɛçt
die Verantwortung,responsibility,,Die {{Verantwortung}} lastete schwer auf seinen Schultern.,diː fɛɐ̯ˈʔantvoʁtʊŋ
die Freiheit,freedom,,Die {{Freiheit}} ist ein kostbares menschliches Gut.,diː ˈfʁaɪ̯hɑɪ̯t
die Gleichheit,equality,,Die {{Gleichheit}} aller Menschen ist ein Ideal.,diː ˈɡlaɪ̯çhɑɪ̯t
die Gemeinschaft,community,,Die {{Gemeinschaft}} half sich gegenseitig in Not.,diː ɡəˈmaɪ̯nʃaft
die Nation,nation,,Die {{Nation}} feierte ihren Nationalfeiertag stolz.,diː natsiˈoːn
die Region,region,,Die {{Region}} war bekannt für ihre Weine.,diː ʁeɡiˈoːn
die Hauptstadt,capital city,,Die {{Hauptstadt}} ist das Herz des Landes.,diː ˈhaʊ̯ptʃtat
die Bevölkerung,population,,Die {{Bevölkerung}} wächst jedes Jahr rapide.,diː bəˈfɔlkəʁʊŋ
die Wirtschaft,economy,,Die {{Wirtschaft}} brauchte dringende Reformen.,diː ˈvɪʁtʃaft
der Handel,trade,,Der {{Handel}} florierte zwischen den beiden Ländern.,deːɐ̯ ˈhandl̩
die Industrie,industry,,Die {{Industrie}} schuf Arbeitsplätze für Tausende.,diː ɪndʊsˈtʁiː
die Landwirtschaft,agriculture,,Die {{Landwirtschaft}} war der Haupterwerb hier.,diː ˈlantvɪʁtʃaft
die Umwelt,environment,,Die {{Umwelt}} muss besser geschützt werden.,diː ˈʔʊmvɛlt
die Natur,nature,,Die {{Natur}} ist wunderbar und vielfältig.,diː naˈtuːɐ̯
die Energie,energy,,Die {{Energie}} für das Projekt war vorhanden.,diː ɛnɛɐ̯ˈɡiː
die Ressource,resource,,Die {{Ressource}} des Landes sind begrenzt.,diː ʁɛˈsoʊ̯ʁsə
die Verschmutzung,pollution,,Die {{Verschmutzung}} der Luft nimmt zu schnell.,diː fɛɐ̯ˈʃmʊtsʊŋ
das Klima,climate,,{{Das Klima}} auf der Erde ändert sich immer schneller.,ˈkliːma
die Temperatur,temperature,,Die {{Temperatur}} heute ist ungewöhnlich hoch für Oktober.,ˌtɛmpəraˈtuːɐ
# ── Adjectives ───────────────────────────────────────────────────────────────
gut,good,,Das neue Restaurant hat {{gute}} Bewertungen bekommen.,ɡuːt
schlecht,bad,,Das Wetter ist heute {{schlecht}} und regnerisch.,ˈʃlɛçt
groß,big / great,,Berlin ist eine {{große}} und wichtige Stadt.,ɡʁoːs
klein,small,,Das {{kleine}} Kind spielt gerne im Park.,klaɪ̯n
neu,new,,Ich habe mir ein {{neues}} Auto gekauft.,nɔɪ̯
alt,old,,Mein {{alter}} Computer funktioniert nicht mehr gut.,alt
jung,young,,Meine {{junge}} Schwester geht noch in die Schule.,jʊŋ
hoch,tall / high,,Der {{hohe}} Berg hat viel Schnee im Winter.,hoːx
niedrig,low,,Das Haus hat sehr {{niedrige}} Decken überall.,ˈniːdʁɪç
lang,long,,Wir hatten ein {{langes}} Gespräch über die Zukunft.,laŋ
kurz,short,,Der {{kurze}} Film war sehr lustig und informativ.,kʊɐ̯ts
breit,wide,,Die {{breite}} Straße führt direkt zum Zentrum.,bʁaɪ̯t
schmal,narrow,,Der {{schmale}} Pfad war schwer zu finden.,ˈʃmaːl
dick,fat / thick,,Das {{dicke}} Buch kostet mehr als normal.,dɪk
dünn,thin,,Die {{dünne}} Scheibe Brot reicht für mich nicht.,dʏn
stark,strong,,Der {{starke}} Wind hat die Tür zugeweht.,ˈʃtaɐ̯k
schwach,weak,,Die {{schwache}} Batterie muss ausgetauscht werden.,ˈʃvax
schnell,fast,,Das {{schnelle}} Auto fährt über hundert Kilometer pro Stunde.,ˈʃnɛl
langsam,slow,,Der {{langsame}} Zug kommt immer zu spät an.,ˈlaŋzaːm
einfach,easy / simple,,Diese {{einfache}} Aufgabe kann jeder lösen mühelos.,ˈaɪ̯nfax
schwierig,difficult,,Die {{schwierige}} Prüfung hat viele Studenten nicht bestanden.,ˈʃvɪːʁɪç
wichtig,important,,Sport ist {{wichtig}} für unsere Gesundheit und Fitness.,ˈvɪçtɪç
nötig,necessary,,Eine {{nötige}} Pause hilft uns weitermachen können.,ˈnøːtɪç
möglich,possible,,"Es ist {{möglich}}, morgen ins Kino zu gehen zusammen.",ˈmøːklɪç
unmöglich,impossible,,"Es ist {{unmöglich}}, ohne Schlaf lange zu arbeiten.",ʊnˈmøːklɪç
wahr,true,,Diese {{wahre}} Geschichte hat mich sehr bewegt.,vaːɐ̯
falsch,false,,Deine {{falsche}} Antwort ist völlig nicht korrekt.,falʃ
sicher,safe / certain,,"Ich bin mir {{sicher}}, dass das funktionieren wird.",ˈzɪçɐ
gefährlich,dangerous,,Rauchen ist {{gefährlich}} für deine Gesundheit besonders.,ɡəˈfɛːɐ̯lɪç
reich,rich,,Der {{reiche}} Mann besitzt mehrere Häuser weltweit.,ʁaɪ̯x
arm,poor,,Die {{arme}} Familie brauchte finanzielle Unterstützung dringend.,aɐ̯m
glücklich,happy,,Ich bin sehr {{glücklich}} über meine neue Situation.,ˈɡlʏklɪç
traurig,sad,,Die {{traurige}} Geschichte machte alle Zuschauer zu Tränen.,ˈtʁaʊ̯ʁɪç
wütend,angry,,Mein Vater war {{wütend}} über das schlechte Zeugnis.,ˈvyːtənt
ruhig,calm,,Bleib {{ruhig}} und atme tief durch jetzt.,ˈʁuːɪç
nervös,nervous,,Ich bin {{nervös}} vor meinem ersten Arbeitstag.,nɛɐ̯ˈvøːs
langweilig,boring,,Der {{langweilige}} Film hat mir überhaupt nicht gefallen.,ˈlaŋvaɪ̯lɪç
interessant,interesting,,Das {{interessante}} Buch konnte ich nicht ablegen.,ˌɪntəʁɛˈsant
schön,beautiful,,Das {{schöne}} Mädchen war sehr beliebt in der Schule.,ʃøːn
hässlich,ugly,,Das {{hässliche}} Gebäude zerstört das Stadtbild völlig.,ˈhɛslɪç
sauber,clean,,Das {{saubere}} Haus riecht nach Seife und Frische.,ˈzaʊ̯bɐ
schmutzig,dirty,,Deine {{schmutzigen}} Hände musst du waschen sofort.,ˈʃmʊtsɪç
voll,full,,Der {{volle}} Bus konnte keine Passagiere mehr aufnehmen.,fɔl
leer,empty,,Das {{leere}} Glas füllte ich mit Wasser auf.,leːɐ̯
offen,open,,Die {{offene}} Tür ließ kalte Luft hereinströmen.,ˈɔfən
geschlossen,closed,,Der {{geschlossene}} Laden öffnet erst um zehn Uhr.,ɡəˈʃlɔsən
frei,free,,Am Wochenende bin ich endlich {{frei}} und entspannt.,fʁaɪ̯
beschäftigt,busy,,Mein Chef ist immer {{beschäftigt}} mit wichtigen Terminen.,bəˈʃɛftɪçt
anders,different,,Diese Lösung ist {{anders}} als die vorherige Methode.,ˈandɐs
gleich,same,,Beide Schüler haben {{gleich}} gute Noten bekommen.,ˈɡlaɪ̯ç
ähnlich,similar,,Die Zwillinge sehen sich {{ähnlich}} und haben denselben Charakter.,ˈɛhnlɪç
besonders,special,,Diese {{besondere}} Gelegenheit kommt nicht oft vor.,bəˈzɔndɐs
normal,normal,,"Es ist {{normal}}, dass Kinder viele Fragen stellen täglich.",nɔrˈmaːl
seltsam,strange,,Sein Verhalten wirkt heute {{seltsam}} und unerklärlich.,ˈzɛltzaːm
häufig,common / frequent,,Wir besuchen {{häufig}} unsere Großeltern am Wochenende.,ˈhɔɪ̯fɪç
selten,rare,,Schneefall ist in unserer Region {{selten}} und wertvoll.,ˈzɛltn̩
typisch,typical,,"Es ist {{typisch}} deutsch, immer pünktlich zu sein.",ˈtyːpɪʃ
modern,modern,,Das {{moderne}} Design des Hauses gefällt mir sehr gut.,ˈmoːdɐn
natürlich,natural,,{{Natürlich}} möchte jeder Mensch glücklich und gesund sein.,naˈtyːɐlɪç
künstlich,artificial,,Die {{künstliche}} Intelligenz entwickelt sich sehr schnell weiter.,ˈkʏnstlɪç
körperlich,physical,,{{Körperliche}} Übungen sind wichtig für die Gesundheit täglich.,ˈkœɐpɐlɪç
geistig,mental,,{{Geistige}} Fähigkeiten kann man durch Lesen verbessern.,ˈɡaɪ̯stɪç
sozial,social,,{{Soziale}} Netzwerke verbinden Millionen von Menschen weltweit heute.,zoˈtsi̯aːl
politisch,political,,Die {{politische}} Situation in dem Land ist sehr angespannt.,poˈliːtɪʃ
wirtschaftlich,economic,,Die {{wirtschaftliche}} Lage hat sich im letzten Jahr verbessert.,ˈvɪɐtʃaftslɪç
kulturell,cultural,,Das {{kulturelle}} Erbe dieser Stadt ist sehr wertvoll.,kʊltuˈrɛl
national,national,,Der {{nationale}} Stolz ist in diesem Land sehr großen.,natsi̯oˈnaːl
international,international,,Viele {{internationale}} Organisationen arbeiten für den Frieden.,ɪntɐnatsi̯oˈnaːl
lokal,local,,Der {{lokale}} Markt verkauft nur frische Produkte hier.,loˈkaːl
öffentlich,public,,Die {{öffentliche}} Bibliothek ist montags geschlossen leider.,ˈœfəntlɪç
privat,private,,Das ist eine {{private}} Angelegenheit zwischen dir und mir.,priˈvaːt
persönlich,personal,,Ich möchte dir {{persönlich}} meine Meinung sagen heute.,pɛɐˈzønlɪç
professionell,professional,,Sie arbeitet sehr {{professionell}} und gewissenhaft in ihrem Beruf.,pʁɔfɛsi̯oˈnɛl
intelligent,intelligent,,Der {{intelligente}} Student löst alle Aufgaben schnell.,ɪntɛliˈɡɛnt
ernst,serious,,"Die Situation ist zu {{ernst}}, um darüber zu scherzen.",ˈɛɐnst
lustig,funny,,Der Film war sehr {{lustig}} und unterhaltsam gestern.,ˈlʊstɪç
freundlich,friendly,,Alle Menschen in diesem Dorf sind sehr {{freundlich}} hier.,ˈfʁɔɪ̯ntlɪç
ehrlich,honest,,"Es ist wichtig, immer {{ehrlich}} zu seinen Freunden zu sein.",ˈeːɐlɪç
großzügig,generous,,Der reiche Mann ist sehr {{großzügig}} gegenüber Armen.,ˈɡʁoːstˌtsyːɡɪç
mutig,brave,,Der {{mutige}} Feuerwehrmann rettete das Kind aus dem Feuer.,ˈmuːtɪç
geduldig,patient,,Die Lehrer sollten {{geduldig}} mit langsamen Schülern sein.,ɡəˈdʊldɪç
aktiv,active,,Der {{aktive}} Junge spielt gerne Fußball nach der Schule.,akˈtiːf
positiv,positive,,"Eine {{positive}} Einstellung hilft dir, Probleme zu lösen.",poziˈtiːf
negativ,negative,,Die {{negative}} Kritik hat ihn sehr verletzt und erschüttert.,neɡaˈtiːf
vollständig,complete,,Die Aufgabe ist {{vollständig}} fertig und korrekt gelöst.,ˈfɔlʃtɛndɪç
perfekt,perfect,,"Niemand ist {{perfekt}}, wir alle haben Fehler immer.",pɛɐˈfɛkt
richtig,correct,,Deine Antwort ist {{richtig}} und sehr gut begründet.,ˈrɪçtɪç
genau,exact,,"Bitte sag mir {{genau}}, was du brauchst und möchtest.",ɡəˈnaʊ̯
gesamt,total,,Die {{gesamte}} Klasse freut sich auf die Klassenfahrt.,ɡəˈzamt
haupt,main,,Das {{Haupt}}problem ist der fehlende finanzielle Etat hier.,ˈhaʊ̯pt
offiziell,official,,Es ist noch nicht {{offiziell}} bestätigt worden leider.,ɔfiˈtsi̯ɛl
formell,formal,,Die {{formelle}} Kleidung ist für diese Veranstaltung erforderlich.,fɔɐˈmɛl
# ── Adverbs ──────────────────────────────────────────────────────────────────
sehr,very,,Das neue Restaurant ist {{sehr}} beliebt bei den Leuten.,ˈzeːɐ
mehr,more,,Ich möchte {{mehr}} Zeit mit meiner Familie verbringen.,ˈmeːɐ
weniger,less,,Wir sollten {{weniger}} Plastik im Haushalt verwenden täglich.,ˈveːnɪɡɐ
auch,also / too,,Du {{auch}} möchtest sicher ein Stück Kuchen haben.,ˈaʊ̯x
noch,still / yet,,Das Baby schläft {{noch}} und darf nicht gestört werden.,ˈnɔx
nie,never,,Ich habe {{nie}} so einen interessanten Film gesehen vorher.,ˈniː
immer,always,,Ich trinke {{immer}} Kaffee zum Frühstück.,ˈɪmɐ
fast,almost,,Das Projekt ist {{fast}} fertig und dauert noch zwei Tage.,fast
nur,only,,Ich habe {{nur}} drei Euro in meiner Tasche.,nuːɐ
genug,enough,,Wir haben {{genug}} Geld für den Urlaub gespart.,ɡəˈnuːk
zu viel,too much,,Du isst {{zu viel}} Zucker und das ist ungesund.,tsuː ˈfiːl
wenig,a little,,Im Winter haben wir {{wenig}} Sonnenlicht in Deutschland.,ˈveːnɪk
viel,a lot,,Sie liest {{viel}} und kauft jeden Monat neue Bücher.,fiːl
besser,better,,Dieses Restaurant ist {{besser}} als das alte Restaurant.,ˈbɛsɐ
leicht,easily,,Du kannst diese Aufgabe {{leicht}} in einer Stunde lösen.,ˈlaɪ̯çt
wahrscheinlich,probably,,Das Wetter ist {{wahrscheinlich}} morgen sonnig und warm.,ˈvaːɐ̯ʃaɪ̯nlɪç
vielleicht,perhaps / maybe,,{{Vielleicht}} komme ich am Wochenende zu deiner Party.,fɪlˈlaɪ̯çt
wirklich,really,,Dieser Film ist {{wirklich}} spannend und sehr interessant.,ˈvɪɐ̯klɪç
völlig,totally,,Ich bin {{völlig}} erschöpft nach dem langen Marathon heute.,ˈfœlɪk
komplett,completely,,Der Umzug ist {{komplett}} abgeschlossen und alles ist organisiert.,kɔmˈplɛt
absolut,absolutely,,Diese Entscheidung ist {{absolut}} notwendig für unsere Zukunft.,apzoˈluːt
hauptsächlich,mainly,,Das Buch behandelt {{hauptsächlich}} die Geschichte des alten Roms.,ˈhaʊ̯ptˌzɛçlɪç
allgemein,generally,,"{{Allgemein}} ist es wichtig, viel Wasser zu trinken.",ˈalɡəˌmaɪ̯n
normalerweise,normally,,Ich stehe {{normalerweise}} um sieben Uhr morgens auf.,nɔɐ̯ˈmaːləɐ̯ˌvaɪ̯zə
oft,often,,Im Sommer gehen wir {{oft}} ins Kino oder ins Bad.,ɔft
sofort,immediately,,"Ruf mich {{sofort}} an, wenn du Probleme hast.",zoˈfɔɐ̯t
schließlich,finally,,{{Schließlich}} bekam er seinen Universitätsabschluss nach fünf Jahren.,ˈʃliːslɪç
hier,here,,Das ist mein Haus und {{hier}} lebe ich seit zwanzig Jahren.,hiːɐ
dort,there,,Meine Großeltern wohnen {{dort}} in der kleinen Stadt am Fluss.,dɔɐ̯t
nah,near,,"Die Schule ist {{nah}} bei unserem Haus, nur fünf Minuten entfernt.",naː
weit,far,,Der Bahnhof ist {{weit}} weg und kostet viel Zeit.,vaɪ̯t
drinnen,inside,,{{Drinnen}} ist es warm und gemütlich an diesem kalten Tag.,ˈdrɪnən
draußen,outside,,Die Kinder spielen {{draußen}} im Garten und haben viel Spaß.,ˈdʁaʊ̯sən
oben,up / above,,Das Schlafzimmer liegt {{oben}} im zweiten Stock des Hauses.,ˈoːbən
unten,down / below,,Das Wohnzimmer ist {{unten}} im Erdgeschoss und sehr großzügig.,ˈʊntən
vorne,in front,,Die Garage ist {{vorne}} beim Eingang und sehr bequem gelegen.,ˈfɔɐ̯nə
hinten,behind,,Der Garten liegt {{hinten}} hinter dem Haus und ist sehr schön.,ˈhɪntən
# ── Prepositions and conjunctions ────────────────────────────────────────────
von,of / from,,Dieses Buch ist {{von}} meinem Lieblingsautor geschrieben worden.,fɔn
zu,to / at,,Ich gehe {{zu}} meiner besten Freundin und wir trinken Tee.,tsuː
in,in,,Meine Katze sitzt {{in}} einem großen Korb und schläft.,ɪn
mit,with,,Ich fahre {{mit}} meinem Auto zur Arbeit jeden Morgen.,mɪt
ohne,without,,Ich kann {{ohne}} meine Brille nicht richtig sehen.,ˈoːnə
für,for,,Ich kaufe ein Geschenk {{für}} meinen Bruder zum Geburtstag.,fyːɐ
durch,through / by,,Wir gehen {{durch}} den Park und genießen die Natur.,dʊɐ̯ç
über,over / about,,Wir sprechen {{über}} die neuen Pläne für das nächste Jahr.,ˈyːbɐ
zwischen,between,,Die Schule liegt {{zwischen}} dem Supermarkt und der Apotheke.,ˈtsvɪʃən
bis,until / up to,,Du musst hier {{bis}} freitag bleiben und dann kannst du gehen.,bɪs
seit,since / for,,Ich wohne {{seit}} zehn Jahren in dieser schönen Stadt.,zaɪ̯t
während,during,,{{Während}} des Urlaubs vergessen wir den Alltag und entspannen.,ˈvɛːɐ̯ənt
vor,before / in front of,,Das Kino ist {{vor}} dem Bahnhof und sehr leicht erreichbar.,foːɐ
nach,after / to,,{{Nach}} dem Essen spazieren wir durch die Stadt und bummeln.,naːx
obwohl,although,,Ich mag diesen Film {{obwohl}} er ziemlich lang und langsam ist.,ˈɔpvoːl
weil,because,,Ich bleibe zu Hause {{weil}} ich heute sehr müde bin.,vaɪ̯l
wenn,if / when,,"{{Wenn}} es morgen regnet, gehen wir ins Kino zusammen.",vɛn
als,as / when,,"{{Als}} ich klein war, spielte ich gerne im Wald.",als
wo,where,,"{{Wo}} ist meine neue Jacke, die ich gestern gekauft habe?",voː
wie,how / as,,{{Wie}} geht es dir heute Morgen?,viː
dass,that,,Ich weiß {{dass}} du morgen kommst.,das
aber,but,,"Ich möchte gehen, {{aber}} es regnet.",ˈaːbɐ
oder,or,,Möchtest du Kaffee {{oder}} Tee trinken?,ˈoːdɐ
